Timestamp,Age group,City / Location (India),Occupation,Which types of investments do you currently have?,How do you usually approach high-value investments?,"When investing, which factors matter most?",How comfortable are you with pooling money with others for high-value purchases or investments?,Which of the following would make you more confident when collaborating financially with others?,Do you consider real estate a good way to build wealth?,How affordable is buying a home in your city?,Do you plan to buy a home in the next 1–5 years?,Current living situation:,"If finances were not a constraint, would you prefer to:",Which of the following factors influence your homeownership decisions?
23/09/2025 14:31:47,25–30,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Gold / Commodities",Open to pooling funds with trusted partners,"Potential returns, Legal enforceability, Trustworthiness of partners, Time of investment",4,Recommendations or references from known contacts,Somewhat disagree,Very expensive,No plans yet,Own home fully paid,Continue renting,Investment appreciation potential
23/09/2025 21:18:41,25–30,Tier-1 / Metropolitan,Finance / Banking / Investment,"Savings account / Fixed deposit, Mutual funds / SIPs","Prefer to invest alone, with full control","Safety / low risk, Potential returns, Time of investment",4,"Verified identity / official documents, Clear legal agreements, Small contribution amounts",Neutral,Very expensive,No plans yet,Renting privately,Own your home,Investment appreciation potential
25/09/2025 11:35:13,25–30,Tier-1 / Metropolitan,IT / Tech / Software,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Gold / Commodities","Prefer to invest alone, with full control","Safety / low risk, Potential returns",3,Verified identity / official documents,Strongly agree,Somewhat expensive,Actively looking,Renting privately,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
25/09/2025 13:02:45,25–30,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Stocks / Equity, Real estate / Land",Open to pooling funds with trusted partners,"Potential returns, Legal enforceability, Trustworthiness of partners, Time of investment",3,"Verified identity / official documents, Clear legal agreements, Guidance from a trusted intermediary or service",Somewhat agree,Somewhat affordable,No plans yet,Living with family,Own your home,"Location / convenience, Safety / security"
24/09/2025 00:04:13,31–35,Tier-1 / Metropolitan,IT / Tech / Software,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Gold / Commodities",Only invest through professional funds / intermediaries,"Potential returns, Ease of management, Legal enforceability, Trustworthiness of partners, Time of investment",3,"Verified identity / official documents, Clear legal agreements, Small contribution amounts, Guidance from a trusted intermediary or service, Recommendations or references from known contacts",Strongly agree,Somewhat expensive,"Considering, but not actively",Living with family,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
24/09/2025 02:33:36,31–35,Tier-1 / Metropolitan,Sales,Gold / Commodities,Avoid high-value investments,Safety / low risk,2,Verified identity / official documents,Strongly agree,Very expensive,"Considering, but not actively",Living with family,Own your home,"Affordability / price, Location / convenience"
26/09/2025 16:55:59,31–35,Tier-1 / Metropolitan,Business / Entrepreneur,"Mutual funds / SIPs, Gold / Commodities",Only invest through professional funds / intermediaries,"Safety / low risk, Trustworthiness of partners, Time of investment",4,"Verified identity / official documents, Clear legal agreements, Small contribution amounts, Guidance from a trusted intermediary or service",Strongly agree,Very expensive,"Considering, but not actively",Own home fully paid,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security"
24/09/2025 06:31:02,36–40,Tier-1 / Metropolitan,Business / Entrepreneur,"Mutual funds / SIPs, Stocks / Equity, Real estate / Land",Only invest through professional funds / intermediaries,"Potential returns, Trustworthiness of partners",2,"Clear legal agreements, Guidance from a trusted intermediary or service, Recommendations or references from known contacts",Somewhat agree,Somewhat affordable,"Considering, but not actively",Own home fully paid,No preference,Location / convenience
24/09/2025 08:49:39,36–40,Tier-1 / Metropolitan,Education sector ,Savings account / Fixed deposit,"Prefer to invest alone, with full control","Safety / low risk, Potential returns, Legal enforceability",1,"Verified identity / official documents, Recommendations or references from known contacts",Somewhat agree,Very expensive,"Considering, but not actively",Living with family,Own your home,"Affordability / price, Location / convenience"
25/09/2025 07:13:24,36–40,Tier-1 / Metropolitan,Account executive ,"Mutual funds / SIPs, Gold / Commodities",Avoid high-value investments,"Potential returns, Trustworthiness of partners",2,"Clear legal agreements, Guidance from a trusted intermediary or service",Neutral,Somewhat expensive,No plans yet,Own home with loan,Own your home,Safety / security
23/09/2025 14:16:00,41–50,Tier-1 / Metropolitan,Finance / Banking / Investment,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Real estate / Land, Gold / Commodities","Prefer to invest alone, with full control","Potential returns, Ease of management, Time of investment",1,"Clear legal agreements, Small contribution amounts, Recommendations or references from known contacts",Somewhat disagree,Very expensive,No plans yet,Own home with loan,Own your home,"Affordability / price, Location / convenience"
23/09/2025 16:55:29,41–50,Tier-1 / Metropolitan,IT / Tech / Software,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Real estate / Land","Prefer to invest alone, with full control","Safety / low risk, Potential returns, Ease of management, Legal enforceability",2,"Verified identity / official documents, Clear legal agreements, Small contribution amounts",Somewhat agree,Somewhat expensive,No plans yet,Living with family,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
23/09/2025 21:36:17,41–50,Tier-2 / Urban,IT / Tech / Software,"Savings account / Fixed deposit, Mutual funds / SIPs",Only invest through professional funds / intermediaries,"Safety / low risk, Potential returns, Ease of management, Trustworthiness of partners",3,"Verified identity / official documents, Small contribution amounts, Guidance from a trusted intermediary or service",Somewhat agree,Somewhat expensive,No plans yet,Own home with loan,Own your home,"Affordability / price, Location / convenience, Safety / security"
23/09/2025 21:50:39,41–50,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Stocks / Equity, Real estate / Land",Only invest through professional funds / intermediaries,"Safety / low risk, Potential returns, Ease of management, Legal enforceability, Trustworthiness of partners, Time of investment",1,"Verified identity / official documents, Clear legal agreements, Small contribution amounts, Guidance from a trusted intermediary or service, Recommendations or references from known contacts",Neutral,Very expensive,No plans yet,Own home with loan,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
24/09/2025 06:42:22,41–50,Tier-1 / Metropolitan,Homemaker,None,Only invest through professional funds / intermediaries,Safety / low risk,3,Verified identity / official documents,Somewhat agree,Somewhat affordable,No plans yet,Living with family,No preference,Location / convenience
24/09/2025 09:36:46,41–50,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs","Prefer to invest alone, with full control","Safety / low risk, Potential returns",1,"Small contribution amounts, Recommendations or references from known contacts",Neutral,Somewhat expensive,"Considering, but not actively",Own home with loan,Own your home,Affordability / price
24/09/2025 09:39:44,41–50,Tier-1 / Metropolitan,Private ji ,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Gold / Commodities",Only invest through professional funds / intermediaries,"Safety / low risk, Legal enforceability",1,Clear legal agreements,Somewhat agree,Very affordable,"Considering, but not actively",Employer / company housing,Own your home,Investment appreciation potential
24/09/2025 09:40:15,41–50,Tier-1 / Metropolitan,Private job,"Savings account / Fixed deposit, Real estate / Land","Prefer to invest alone, with full control",Safety / low risk,1,"Verified identity / official documents, Clear legal agreements, Small contribution amounts",Strongly agree,Somewhat expensive,"Considering, but not actively",Own home fully paid,Own your home,"Affordability / price, Location / convenience, Safety / security"
24/09/2025 11:33:39,41–50,Tier-1 / Metropolitan,Business / Entrepreneur,Savings account / Fixed deposit,"Prefer to invest alone, with full control",Safety / low risk,4,Verified identity / official documents,Somewhat disagree,Very expensive,"Considering, but not actively",Own home fully paid,No preference,Location / convenience
24/09/2025 16:07:25,41–50,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity",Only invest through professional funds / intermediaries,Potential returns,3,Verified identity / official documents,Somewhat agree,Very expensive,Actively looking,Living with family,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
24/09/2025 19:39:28,41–50,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Real estate / Land, Gold / Commodities","Prefer to invest alone, with full control","Safety / low risk, Potential returns, Ease of management, Legal enforceability, Trustworthiness of partners, Time of investment",3,"Verified identity / official documents, Clear legal agreements, Small contribution amounts",Somewhat agree,Somewhat expensive,"Considering, but not actively",Own home with loan,Own your home,"Location / convenience, Investment appreciation potential, Safety / security"
24/09/2025 23:33:17,41–50,Tier-2 / Urban,Housewife,Savings account / Fixed deposit,Only invest through professional funds / intermediaries,"Safety / low risk, Trustworthiness of partners",1,Verified identity / official documents,Somewhat agree,Somewhat expensive,No plans yet,Own home with loan,Own your home,Safety / security
23/09/2025 14:22:16,51+,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Gold / Commodities","Prefer to invest alone, with full control","Safety / low risk, Ease of management",1,"Small contribution amounts, Guidance from a trusted intermediary or service",Somewhat agree,Somewhat expensive,No plans yet,Own home with loan,Own your home,"Affordability / price, Location / convenience"
23/09/2025 16:55:40,51+,Tier-1 / Metropolitan,Business / Entrepreneur,Savings account / Fixed deposit,"Prefer to invest alone, with full control",Safety / low risk,1,Verified identity / official documents,Strongly agree,Somewhat expensive,No plans yet,Own home fully paid,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
23/09/2025 18:00:10,51+,Tier-1 / Metropolitan,Government / PSU,"Savings account / Fixed deposit, Real estate / Land, Gold / Commodities",Avoid high-value investments,Safety / low risk,1,Verified identity / official documents,Strongly agree,Very expensive,"Considering, but not actively",Own home fully paid,Own your home,Location / convenience
23/09/2025 18:24:43,51+,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Real estate / Land, Gold / Commodities",Avoid high-value investments,"Safety / low risk, Potential returns, Legal enforceability",1,Verified identity / official documents,Strongly agree,Very expensive,Unlikely ever,Own home with loan,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential"
23/09/2025 23:26:29,51+,Tier-1 / Metropolitan,Finance / Banking / Investment,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Real estate / Land, Gold / Commodities",Only invest through professional funds / intermediaries,"Safety / low risk, Potential returns, Time of investment",1,"Clear legal agreements, Guidance from a trusted intermediary or service",Neutral,Neutral,No plans yet,Own home with loan,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
24/09/2025 02:32:34,51+,Tier-1 / Metropolitan,Retired ,"Savings account / Fixed deposit, Stocks / Equity","Prefer to invest alone, with full control","Safety / low risk, Potential returns, Ease of management, Legal enforceability",1,"Verified identity / official documents, Clear legal agreements, Small contribution amounts",Neutral,Somewhat expensive,No plans yet,Own home fully paid,No preference,"Affordability / price, Location / convenience, Safety / security"
24/09/2025 03:43:22,51+,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs","Prefer to invest alone, with full control",Potential returns,1,Guidance from a trusted intermediary or service,Somewhat disagree,Very expensive,No plans yet,Own home fully paid,Continue renting,Safety / security
24/09/2025 08:08:34,51+,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Stocks / Equity, Real estate / Land","Prefer to invest alone, with full control","Safety / low risk, Ease of management, Legal enforceability",1,"Verified identity / official documents, Recommendations or references from known contacts",Somewhat agree,Somewhat expensive,"Considering, but not actively",Own home fully paid,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
24/09/2025 08:54:02,51+,Tier-2 / Urban,Private job,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity",Avoid high-value investments,"Safety / low risk, Potential returns, Ease of management",1,"Small contribution amounts, Guidance from a trusted intermediary or service, Recommendations or references from known contacts",Somewhat agree,Somewhat affordable,No plans yet,Own home fully paid,Own your home,"Affordability / price, Investment appreciation potential"
24/09/2025 09:49:50,51+,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs",Avoid high-value investments,"Safety / low risk, Potential returns",1,"Verified identity / official documents, Clear legal agreements, Recommendations or references from known contacts",Somewhat agree,Somewhat affordable,No plans yet,Own home fully paid,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
24/09/2025 09:55:58,51+,Tier-1 / Metropolitan,Lawyer,"Mutual funds / SIPs, Stocks / Equity","Prefer to invest alone, with full control","Potential returns, Legal enforceability",1,"Verified identity / official documents, Clear legal agreements, Small contribution amounts, Recommendations or references from known contacts",Somewhat agree,Very expensive,Unlikely ever,Own home fully paid,No preference,Safety / security
24/09/2025 10:02:29,51+,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Real estate / Land, Gold / Commodities, None",Open to pooling funds with trusted partners,Safety / low risk,3,"Verified identity / official documents, Clear legal agreements, Guidance from a trusted intermediary or service",Neutral,Very expensive,No plans yet,Own home fully paid,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
24/09/2025 10:05:29,51+,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity",Only invest through professional funds / intermediaries,Potential returns,2,Guidance from a trusted intermediary or service,Somewhat agree,Very expensive,No plans yet,Own home fully paid,No preference,Affordability / price
24/09/2025 10:29:27,51+,Tier-1 / Metropolitan,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Real estate / Land, Gold / Commodities",Open to pooling funds with trusted partners,"Potential returns, Ease of management, Legal enforceability, Trustworthiness of partners, Time of investment",4,"Verified identity / official documents, Clear legal agreements, Guidance from a trusted intermediary or service, Recommendations or references from known contacts",Somewhat agree,Somewhat expensive,No plans yet,Own home fully paid,Own your home,"Location / convenience, Investment appreciation potential, Safety / security"
24/09/2025 15:52:49,51+,Tier-2 / Urban,Healthcare / Doctor,"Savings account / Fixed deposit, Mutual funds / SIPs",Only invest through professional funds / intermediaries,"Potential returns, Time of investment",1,"Verified identity / official documents, Guidance from a trusted intermediary or service",Neutral,Somewhat expensive,Unlikely ever,Living with family,Own your home,"Safety / security, Maintenance / ease"
24/09/2025 19:26:02,51+,Tier-2 / Urban,Government / PSU,Stocks / Equity,"Prefer to invest alone, with full control",Potential returns,3,Small contribution amounts,Somewhat disagree,Somewhat expensive,No plans yet,Own home fully paid,Own your home,Location / convenience
23/09/2025 13:12:59,Under 25,Tier-1 / Metropolitan,IT / Tech / Software,None,"Prefer to invest alone, with full control","Potential returns, Ease of management, Trustworthiness of partners, Time of investment",2,"Verified identity / official documents, Clear legal agreements, Small contribution amounts, Recommendations or references from known contacts",Strongly agree,Very expensive,Actively looking,Living with family,Own your home,"Affordability / price, Location / convenience"
23/09/2025 13:19:16,Under 25,Tier-3 / Rural,IT / Tech / Software,None,"Prefer to invest alone, with full control","Potential returns, Ease of management, Time of investment",1,Guidance from a trusted intermediary or service,Strongly agree,Somewhat expensive,"Considering, but not actively",Living with family,Own your home,"Affordability / price, Investment appreciation potential"
23/09/2025 13:29:47,Under 25,Tier-2 / Urban,Business / Entrepreneur,"Savings account / Fixed deposit, Mutual funds / SIPs, Gold / Commodities",Only invest through professional funds / intermediaries,"Potential returns, Ease of management, Trustworthiness of partners, Time of investment",4,"Verified identity / official documents, Clear legal agreements, Guidance from a trusted intermediary or service",Strongly agree,Neutral,"Considering, but not actively",Living with family,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security"
23/09/2025 13:52:07,Under 25,Tier-1 / Metropolitan,Student,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Gold / Commodities","Prefer to invest alone, with full control",Potential returns,1,Small contribution amounts,Somewhat agree,Very expensive,No plans yet,Living with family,Own your home,Location / convenience
23/09/2025 14:39:34,Under 25,Tier-1 / Metropolitan,IT / Tech / Software,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity","Prefer to invest alone, with full control","Safety / low risk, Potential returns, Ease of management, Legal enforceability, Time of investment",2,"Verified identity / official documents, Clear legal agreements, Guidance from a trusted intermediary or service, Recommendations or references from known contacts",Somewhat agree,Very expensive,No plans yet,Living with family,Continue renting,"Location / convenience, Investment appreciation potential, Maintenance / ease"
23/09/2025 16:47:14,Under 25,Tier-1 / Metropolitan,IT / Tech / Software,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity","Prefer to invest alone, with full control","Safety / low risk, Potential returns, Legal enforceability, Time of investment",3,"Verified identity / official documents, Clear legal agreements, Small contribution amounts, Guidance from a trusted intermediary or service, Recommendations or references from known contacts",Strongly agree,Somewhat expensive,"Considering, but not actively",Renting privately,No preference,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security"
23/09/2025 16:50:23,Under 25,Tier-2 / Urban,Student,Savings account / Fixed deposit,Avoid high-value investments,"Potential returns, Trustworthiness of partners",2,"Verified identity / official documents, Clear legal agreements, Small contribution amounts",Strongly agree,Somewhat affordable,Unlikely ever,Living with family,Own your home,"Affordability / price, Location / convenience, Safety / security"
23/09/2025 18:37:51,Under 25,Tier-1 / Metropolitan,IT / Tech / Software,Savings account / Fixed deposit,Avoid high-value investments,Time of investment,3,"Verified identity / official documents, Guidance from a trusted intermediary or service",Somewhat agree,Somewhat expensive,"Considering, but not actively",Living with family,Own your home,"Affordability / price, Location / convenience, Safety / security"
23/09/2025 21:45:42,Under 25,Tier-1 / Metropolitan,Student,None,Only invest through professional funds / intermediaries,Potential returns,3,Recommendations or references from known contacts,Neutral,Very expensive,Actively looking,Renting privately,Own your home,"Investment appreciation potential, Safety / security"
23/09/2025 22:08:44,Under 25,Tier-2 / Urban,Student,Savings account / Fixed deposit,"Prefer to invest alone, with full control",Potential returns,1,"Verified identity / official documents, Clear legal agreements, Small contribution amounts",Strongly agree,Somewhat expensive,Actively looking,Living with family,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
23/09/2025 22:51:45,Under 25,Tier-1 / Metropolitan,Student,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity","Prefer to invest alone, with full control","Safety / low risk, Potential returns, Time of investment",1,Guidance from a trusted intermediary or service,Somewhat agree,Very expensive,No plans yet,Living with family,Own your home,Investment appreciation potential
23/09/2025 23:51:47,Under 25,Tier-1 / Metropolitan,Student,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity","Prefer to invest alone, with full control","Safety / low risk, Potential returns, Ease of management, Legal enforceability",3,"Verified identity / official documents, Clear legal agreements, Guidance from a trusted intermediary or service",Somewhat agree,Somewhat expensive,"Considering, but not actively",Living with family,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"
24/09/2025 07:18:58,Under 25,Tier-2 / Urban,Student,Savings account / Fixed deposit,Avoid high-value investments,Safety / low risk,3,Recommendations or references from known contacts,Somewhat agree,Neutral,No plans yet,Living with family,No preference,Safety / security
03/10/2025 22:45:59,Under 25,Tier-1 / Metropolitan,Finance / Banking / Investment,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Gold / Commodities",Only invest through professional funds / intermediaries,"Safety / low risk, Potential returns, Ease of management, Time of investment",2,Verified identity / official documents,Neutral,Neutral,No plans yet,Living with family,No preference,Affordability / price
,,,,,,,,,,,,,,
06/10/2025 13:57:55,31–35,Tier-1 / Metropolitan,Government / PSU,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity, Real estate / Land, Gold / Commodities",Open to pooling funds with trusted partners,"Ease of management, Legal enforceability, Trustworthiness of partners, Time of investment",4,Guidance from a trusted intermediary or service,Somewhat agree,Somewhat expensive,No plans yet,Living with family,No preference,"Affordability / price, Location / convenience"
07/10/2025 08:17:42,25–30,Tier-1 / Metropolitan,IT / Tech / Software,"Savings account / Fixed deposit, Mutual funds / SIPs, Stocks / Equity",Only invest through professional funds / intermediaries,"Potential returns, Ease of management, Legal enforceability, Trustworthiness of partners",3,"Verified identity / official documents, Clear legal agreements, Guidance from a trusted intermediary or service, Recommendations or references from known contacts",Somewhat agree,Very expensive,Unlikely ever,Living with family,Own your home,"Affordability / price, Location / convenience, Investment appreciation potential, Safety / security, Maintenance / ease"